insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(1, 1, 1);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(2, 2, 1);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(3, 3, 1);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(4, 4, 2);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(5, 5, 2);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(6, 6, 2);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(7, 7, 3);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(8, 8, 3);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(9, 9, 3);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(10, 10, 4);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(11, 11, 4);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(12, 12, 4);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(13, 13, 5);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(14, 14, 5);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(15, 15, 5);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(16, 16, 6);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(17, 17, 6);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(18, 18, 6);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(19, 19, 7);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(20, 20, 7);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(21, 21, 7);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(22, 22, 8);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(23, 23, 8);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(24, 24, 8);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(25, 25, 9);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(26, 26, 9);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(27, 27, 9);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(28, 28, 10);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(29, 29, 10);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(30, 30, 10);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(31, 31, 11);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(32, 32, 11);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(33, 33, 11);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(34, 34, 12);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(35, 35, 12);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(36, 36, 12);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(37, 37, 13);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(38, 38, 13);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(39, 39, 13);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(40, 40, 14);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(41, 41, 14);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(42, 42, 14);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(43, 43, 15);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(44, 44, 15);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(45, 45, 15);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(46, 46, 16);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(47, 47, 16);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(48, 48, 16);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(49, 49, 17);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(50, 50, 17);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(51, 51, 17);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(52, 52, 18);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(53, 53, 18);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(54, 54, 18);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(55, 55, 19);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(56, 56, 19);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(57, 57, 19);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(58, 58, 20);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(59, 59, 20);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(60, 60, 20);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(61, 61, 21);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(62, 62, 21);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(63, 63, 21);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(64, 64, 22);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(65, 65, 22);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(66, 66, 22);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(67, 67, 23);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(68, 68, 23);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(69, 69, 23);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(70, 70, 24);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(71, 71, 24);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(72, 72, 24);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(73, 73, 25);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(74, 74, 25);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(75, 75, 25);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(76, 76, 26);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(77, 77, 26);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(78, 78, 26);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(79, 79, 27);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(80, 80, 27);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(81, 81, 27);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(82, 82, 28);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(83, 83, 28);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(84, 84, 28);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(85, 85, 29);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(86, 86, 29);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(87, 87, 29);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(88, 88, 30);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(89, 89, 30);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(90, 90, 30);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(91, 91, 31);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(92, 92, 31);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(93, 93, 31);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(94, 94, 32);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(95, 95, 32);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(96, 96, 32);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(97, 97, 33);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(98, 98, 33);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(99, 99, 33);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(100, 100, 34);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(101, 101, 34);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(102, 102, 34);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(103, 103, 35);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(104, 104, 35);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(105, 105, 35);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(106, 106, 36);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(107, 107, 36);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(108, 108, 36);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(109, 109, 37);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(110, 110, 37);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(111, 111, 37);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(112, 112, 38);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(113, 113, 38);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(114, 114, 38);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(115, 115, 39);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(116, 116, 39);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(117, 117, 39);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(118, 118, 40);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(119, 119, 40);
insert into tblSubjectTxt(subtxt_seq, subname_seq, txtbook_seq) values(120, 120, 40);
